question_id,tipo_questao,dataset,modelo,nivel_dificuldade,disciplina,tema,texto_questao,gabarito_oficial,resposta,correto,json_parse_ok,saida_bruta,timestamp_execucao
2012-08_50,OBJETIVA,J2,gemma2,dificil,Direito Empresarial,Debêntures e Órgãos da Companhia,"A Assembleia Geral de S.A. Empreendimentos Turísticos, companhia aberta sediada em “X”, delegou ao Conselho de Administração a deliberação sobre a oportunidade de emissão, época e condições de vencimento de debêntures conversíveis em ações. Petrossian Participações Ltda., acionista minoritário, consultou seu advogado sobre a legalidade da deliberação.
Com relação ao fato acima, assinale a alternativa que apresenta a resposta correta à consulta.",A,A,True,True,"{```json
{
  ""resposta_objetiva"": ""A""
}
```",2026-03-31T01:34:55Z
2012-08_51,OBJETIVA,J2,gemma2,medio,Direito Empresarial,Processamento e Plano de Recuperação Judicial,"A respeito da recuperação judicial, assinale a afirmativa correta.",C,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:34:57Z
2012-08_52,OBJETIVA,J2,gemma2,medio,Direito Empresarial,Administração da EIRELI e Responsabilidade dos Administradores,"José decidiu constituir uma Empresa Individual de Responsabilidade Limitada (EIRELI) para atuar no município “X” e consultou um advogado para obter esclarecimentos sobre a administração da EIRELI.
Assinale a alternativa que apresenta a informação correta dada pelo advogado.",C,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:34:59Z
2012-08_53,OBJETIVA,J2,gemma2,medio,Direito Civil,Ação Declaratória Incidental e Coisa Julgada,"A parte que, no curso do processo comum ordinário, suscitar questão prejudicial e requerer ao juiz não apenas o exame, mas o julgamento dessa questão, que passará a integrar o dispositivo da sentença, deverá requerer",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:35:01Z
2012-08_54,OBJETIVA,J2,gemma2,facil,Direito Civil,Procedimento Sumário,"O procedimento sumário deve ser adotado em causas cujo valor não supere sessenta salários mínimos ou em situações, qualquer que seja o valor da causa, em que se debata um dos assuntos previstos na lei.
Indique, dentre as alternativas abaixo, a que contém espécie de resposta que não pode ser apresentada pelo réu no rito comum sumário.",A,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:35:03Z
2012-08_55,OBJETIVA,J2,gemma2,medio,Direito Civil,Incidente de Uniformização de Jurisprudência,"A uniformização de jurisprudência é um instituto jurídico que tem por objetivo diminuir os impactos das divergências entre julgamentos do mesmo assunto.
A respeito da uniformização de jurisprudência, asinale a afirmativa correta.",C,A,False,True,"{```json
{
  ""resposta_objetiva"": ""A""
}
```",2026-03-31T01:35:06Z
2012-08_56,OBJETIVA,J2,gemma2,medio,Direito Civil,Cumprimento de Sentença,"Nos autos de ação indenizatória movida por Henrique em face de Paulo, ambos prósperos empresários, transitou em julgado sentença de procedência do pleito autoral, condenando o réu ao pagamento de indenização, no montante equivalente a 500 salários mínimos, na data da prolação da sentença, acrescidos de juros legais e correção monetária.
Assinale a alternativa que apresenta a providência a ser imediatamente adotada pelo advogado de Henrique.",B,B,True,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:35:08Z
2012-08_57,OBJETIVA,J2,gemma2,facil,Direito Civil,Chamamento ao Processo,"Vinícius foi demandado em uma ação de cobrança por ter sido fiador de sua sogra, Francisca. Assinale a alternativa que indica a medida a ser adotada por Vinícius para trazer Francisca para o pólo passivo desse processo.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:35:10Z
2012-08_58,OBJETIVA,J2,gemma2,medio,Direito Civil,Competência Absoluta e Relativa,"O sistema processual pátrio estabelece duas espécies de incompetência: a incompetência absoluta e a incompetência relativa.
Acerca do tema, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:12Z
2012-08_59,OBJETIVA,J2,gemma2,medio,Direito Penal,Princípio da Insignificância,"Em relação ao princípio da insignificância, assinale a afirmativa correta.",B,B,True,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:35:15Z
2012-08_60,OBJETIVA,J2,gemma2,facil,Direito Penal,"Anistia, graça e indulto","Trata-se de causa extintiva da punibilidade consistente na exclusão, por lei ordinária com efeitos retroativos, de um ou mais fatos criminosos do campo de incidência do Direito Penal,",B,B,True,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:35:17Z
2012-08_61,OBJETIVA,J2,gemma2,dificil,Direito Penal,Comunicabilidade de Circunstâncias e Elementares,"Analise detidamente as seguintes situações:
Casuística 1: Amarildo, ao chegar a sua casa, constata que sua filha foi estuprada por Terêncio. Imbuído de relevante valor moral, contrata Ronaldo, pistoleiro profissional, para tirar a vida do estuprador. O serviço é regularmente executado.
Casuística 2: Lucas concorre para um infanticídio auxiliando Julieta, parturiente, a matar o nascituro – o que efetivamente acontece. Lucas sabia, desde o início, que Julieta estava sob a influência do estado puerperal.
Levando em consideração a legislação vigente e a doutrina sobre o concurso de pessoas (concursus delinquentium), é correto afirmar que",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:19Z
2012-08_62,OBJETIVA,J2,gemma2,medio,Direito Penal,Culpabilidade,Analise as hipóteses abaixo relacionadas e assinale a alternativa que apresenta somente causas excludentes de culpabilidade.,A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:22Z
2012-08_63,OBJETIVA,J2,gemma2,dificil,Direito Penal,Imputação Objetiva,"José conversava com Antônio em frente a um prédio. Durante a conversa, José percebe que João, do alto do edifício, jogara um vaso mirando a cabeça de seu interlocutor. Assustado, e com o fim de evitar a possível morte de Antônio, José o empurra com força. Antônio cai e, na queda, fratura o braço. Do alto do prédio, João vê a cena e fica irritado ao perceber que, pela atuação rápida de José, não conseguira acertar o vaso na cabeça de Antônio.
Com base no caso apresentado, segundo os estudos acerca da teoria da imputação objetiva, assinale a afirmativa correta.",C,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:35:24Z
2012-08_64,OBJETIVA,J2,gemma2,medio,Direito Penal,Furto e Teoria da Consumação,"Jaime, conhecido pelos colegas como “Jaiminho mão de seda”, utilizando-se de sua destreza, consegue retirar a carteira do bolso traseiro da calça de Ricardo que, ao perceber a subtração, sai ao encalço do delinquente. Ocorre que, durante a perseguição, Ricardo acaba sendo atropelado, vindo a falecer em decorrência dos ferimentos.
Nesse sentido, com base nas informações apresentadas na hipótese, e a jurisprudência predominante dos tribunais superiores, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:26Z
2012-08_65,OBJETIVA,J2,gemma2,facil,Direito Penal,Recurso em Sentido Estrito,"Adão ofereceu uma queixa-crime contra Eva por crime de dano qualificado (art. 163, parágrafo único, IV). A queixa preenche todos os requisitos legais e foi oferecida antes do fim do prazo decadencial. Apesar disso, há a rejeição da inicial pelo juízo competente, que refere, equivocadamente, que a inicial é intempestiva, pois já teria transcorrido o prazo decadencial.
Nesse caso, assinale a afirmativa que indica o recurso cabível.",A,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:35:28Z
2012-08_66,OBJETIVA,J2,gemma2,dificil,Direito Penal,Relaxamento de Prisão,"O deputado “M” é um famoso político do Estado “Y”, e tem grande influência no governo estadual, em virtude das posições que já ocupou, como a de Presidente da Assembleia Legislativa. Atualmente, exerce a função de Presidente da Comissão de Finanças e Contratos. Durante a reunião semestral com as empresas interessadas em participar das inúmeras contratações que a Câmara fará até o final do ano, o deputado “M” exigiu do presidente da empresa “Z” R$ 500.000,00 (quinhentos mil reais) para que esta pudesse participar da concorrência para a realização das obras na sede da Câmara dos Deputados.
O presidente da empresa “Z”, assustado com tal exigência, visto que sua empresa preenchia todos os requisitos legais para participar das obras, compareceu à Delegacia de Polícia e informou ao Delegado de Plantão o ocorrido, que o orientou a combinar a entrega da quantia para daqui a uma semana, oportunidade em que uma equipe de policiais estaria presente para efetuar a prisão em flagrante do deputado. No dia e hora aprazados para a entrega da quantia indevida, os policiais prenderam em flagrante o deputado “M” quando este conferia o valor entregue pelo presidente da empresa “Z”. Na qualidade de advogado contratado pelo Deputado, assinale a alternativa que indica a peça processual ou pretensão processual, exclusiva de advogado, cabível na hipótese acima.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:30Z
2012-08_67,OBJETIVA,J2,gemma2,facil,Direito Penal,Características do Inquérito Policial,"Um Delegado de Polícia determina a instauração de inquérito policial para apurar a prática do crime de receptação, supostamente praticado por José. Com relação ao Inquérito Policial, assinale a afirmativa que não constitui sua característica.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:32Z
2012-08_68,OBJETIVA,J2,gemma2,medio,Direito Penal,Competência Jurisdicional e Territorial,"Paulo reside na cidade “Y” e lá resolveu falsificar seu passaporte. Após a falsificação, pegou sua moto e viajou até a cidade “Z”, com o intuito de chegar ao Paraguai. Passou pela cidade “W” e pela cidade “K”, onde foi parado pela Polícia Militar. Paulo se identificou ao policial usando o documento falsificado e este, percebendo a fraude, encaminhou Paulo à delegacia. O Parquet denunciou Paulo pela prática do crime de uso de documento falso.
Assinale a afirmativa que indica o órgão competente para julgamento.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:35:35Z
2012-08_69,OBJETIVA,J2,gemma2,medio,Direito Penal,Procedimento em Plenário (2ª fase),"Pedro foi denunciado pela prática de homicídio triplamente qualificado. Como se trata de um crime doloso contra a vida, será julgado pelo Tribunal do Júri. O processo seguiu seu curso normal, tendo Pedro sido pronunciado.
Acerca da 2ª fase do procedimento, assinale a afirmativa que não corresponde à realidade.",D,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:37Z
2012-08_70,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Depósitos e Saques,"Acerca do Fundo de Garantia por Tempo de Serviço (FGTS), assinale a afirmativa correta.",D,D,True,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:35:39Z
2012-08_71,OBJETIVA,J2,gemma2,dificil,Direito do Trabalho,Estabilidade do Dirigente Sindical,"A respeito da estabilidade, assinale a afirmativa correta.",C,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:35:41Z
2012-08_72,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Trabalhador Avulso,"Segundo expressa previsão em nossa ordem jurídica, assinale a afirmativa que indica o trabalhador que possui igualdade de direitos com os que têm vínculo empregatício permanente.",C,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D"" 
}
```",2026-03-31T01:35:43Z
2012-08_73,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Aviso Prévio Proporcional,"João, após completar 21 anos e dois meses de vínculo jurídico de emprego com a empresa EGEST ENGENHARIA, foi injustificadamente dispensado em 11/11/2011. No mesmo dia, seu colega de trabalho José, que contava com 25 anos completos de vínculo de emprego na mesma empresa, também foi surpreendido com a dispensa sem justo motivo, sendo certo que o ex-empregador nada pagou a título de parcelas resilitórias a ambos. Um mês após a rescisão contratual, João e José ajuízam reclamação trabalhista, postulando, dentre outras rubricas, o pagamento de aviso prévio.
À luz da Lei n. 12.506/2011, introduzida no ordenamento jurídico em 11/10/2011, que regula o pagamento do aviso prévio proporcional ao tempo se serviço, assinale a afirmativa correta.",B,B,True,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:35:45Z
2012-08_74,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Data de pagamento do salário,"Um determinado empregador paga os salários dos seus empregados no primeiro dia útil do mês seguinte ao vencido. Encontrando-se em situação financeira delicada, pretende passar a honrar esta obrigação no 5º dia útil do mês subsequente ao vencido, como normalmente fazem os seus concorrentes.
A partir da hipótese apresentada, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:47Z
2012-08_75,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Invenção do Empregado,"Um cientista é contratado como empregado para trabalhar no setor de pesquisa de uma empresa, visando desenvolver atividade inventiva. Após três anos, com uso de equipamentos e insumos da empresa, o trabalhador inventa um novo maquinário, cuja patente é requerida e, em breve, introduzida no processo de produção, com previsão de alto lucro.
Na hipótese, caso nada tenha sido disposto a respeito, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:50Z
2012-08_76,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Representação em Audiência e Preposto,"A respeito do preposto no Processo do Trabalho, de acordo com a legislação, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:52Z
2012-08_77,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Conflito de Competência,"Se for instalado conflito de competência positivo entre dois juízes do Trabalho do Estado de Pernambuco, qual será o órgão competente para julgá-lo?",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:35:54Z
2012-08_78,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Competência em Embargos à Execução por Carta Precatória,"Em 30/7/2008 foi efetuada a penhora de um veículo BMW, modelo X1, por meio de carta precatória executória. Depois de devolvida a carta, o executado Eliezer Filho, proprietário do veículo, opôs embargos à execução em 4/8/2008, dirigindo essa ação incidental ao juízo deprecante. Em seus embargos, alegando a existência de um grosseiro vício, o embargante apontou para a irregularidade na avaliação do bem, uma vez que constou do auto da constrição judicial sua avaliação em R$ 15.000,00, montante muito abaixo do valor de mercado.
Logo, por força do princípio da execução menos onerosa ao devedor, requereu a reavaliação do bem, sob pena de nulidade da execução.
Com base nesse caso concreto, é correto afirmar que o juiz deprecante",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:35:56Z
2012-08_79,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Procedimento Sumaríssimo,"A respeito do procedimento sumaríssimo no processo do trabalho, assinale a afirmativa correta.",A,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:35:58Z
2012-08_80,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Custas Processuais,"Em relação ao valor das custas no processo do trabalho, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:36:00Z
2012-09_1,OBJETIVA,J2,gemma2,facil,Ética Profissional,Cobrança de Honorários,"Um advogado é contratado por um empresário para atuar em causas na área empresarial, formalizando contrato escrito e emitindo fatura para pagamento dos honorários ajustados. A partir de determinado momento o empresário passou a não pagar os honorários ajustados.
Consoante as regras do Código de Ética, o advogado para buscar o recebimento dos honorários pactuados, deverá",D,D,True,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:36:03Z
2012-09_2,OBJETIVA,J2,gemma2,facil,Ética Profissional,Atuação Simultânea como Advogado e Preposto,"O advogado Carlos é Presidente da empresa XYZ, com sede no Município Q. Em determinada data, a empresa é notificada para apresentar defesa em processo trabalhista ajuizado por antigo empregado da empresa. No dia da audiência designada, Carlos apresenta-se como preposto, vez que dirigente da empresa e advogado, por possuir habilitação profissional regular.
Observados tais fatos, de acordo com as normas do Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:36:05Z
2012-09_4,OBJETIVA,J2,gemma2,facil,Ética Profissional,Funções Privativas de Advogado,"Laura, advogada na área empresarial, após concluir o mestrado em renomada instituição de ensino superior, é convidada para integrar a equipe de assessoria jurídica da empresa K S/A . No dia da entrevista final, é inquirida pelo Gerente Jurídico da empresa, bacharel em Direito, sem inscrição na Ordem dos Advogados do Brasil, apesar de o mesmo ter logrado êxito no Exame de Ordem.
Observado tal relato, consoante as normas do Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:36:07Z
2012-09_5,OBJETIVA,J2,gemma2,medio,Ética Profissional,Requisitos para Inscrição de Advogado,"Sávio, aluno regularmente matriculado em Escola de Direito, obtém a sua graduação e, logo a seguir, aprovação no Exame de Ordem. Por força de movimento grevista na sua instituição, o diploma não pode ser expedido.
A respeito da inscrição no quadro de advogados, consoante as normas do Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.",D,D,True,True,"{```json
{
  ""resposta_objetiva"": ""D"" 
}
```",2026-03-31T01:36:09Z
2012-09_6,OBJETIVA,J2,gemma2,medio,Ética Profissional,Atos do Estagiário,"Marcio é estagiário de Direito regularmente inscrito na Ordem dos Advogados do Brasil e atua sob supervisão da advogada Helena. Atuando em determinado processo, a advogada substabelece ao estagiário os poderes que lhe foram conferidos pelo cliente.
A respeito do caso apresentado, consoante as normas do Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.",B,B,True,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:36:12Z
2012-09_7,OBJETIVA,J2,gemma2,facil,Ética Profissional,Conselhos Seccionais,"Assinale a afirmativa que indica como ocorrerá, em havendo necessidade, a criação de novos Conselhos Seccionais, de acordo com as normas do Regulamento Geral do Estatuto da Advocacia e da OAB.",D,D,True,True,"{```json
{
  ""resposta_objetiva"": ""D"" 
}
```",2026-03-31T01:36:14Z
2012-09_8,OBJETIVA,J2,gemma2,medio,Ética Profissional,Cancelamento e Licença,"José da Silva, advogado renomado, é acometido por doença mental considerada pela unanimidade dos médicos como incurável, perdendo suas faculdades de discernimento e sendo considerado absolutamente incapaz por sentença judicial.
Nos termos das regras estatutárias, sua inscrição como advogado será",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D"" 
}
```",2026-03-31T01:36:16Z
2012-09_9,OBJETIVA,J2,gemma2,medio,Ética Profissional,Responsabilidade por Danos ao Cliente,"O advogado João, regularmente contratado para defender os interesses de José em Juízo, realiza a defesa regular em primeiro grau, mas não apresenta recurso de apelação contra sentença que julgou improcedente o pedido, mesmo havendo sólida fundamentação para modificar o decidido. O prejuízo causado ao cliente foi de R$ 10.000,00, parcialmente coberto por seguro realizado pela sociedade de advogados integrada por João.
Consoante as regras estatutárias, os prejuízos causados ao cliente acarretam a responsabilidade pessoal do sócio advogado de forma",B,A,False,True,"{```json
{
  ""resposta_objetiva"": ""A""
}
```",2026-03-31T01:36:18Z
2012-09_10,OBJETIVA,J2,gemma2,medio,Ética Profissional,Exceção à infração por advogar contra literal disposição de lei,"O advogado Cândido, conhecido pelas soluções criativas para resolver os problemas dos seus clientes, aduz, como tese defensiva, em ação de despejo por falta de pagamento, que a norma que autoriza tal desocupação forçada seria inconstitucional, pois caberia ao Estado fornecer habitação gratuita ou a preços módicos aos necessitados e, em caso de impossibilidade financeira, custear a moradia, pagando ao locador os valores devidos, a título de aluguel social.
Essa defesa foi considerada como contrária à disposição de lei que determina, como consequência do não pagamento dos alugueres, o despejo por falta de pagamento. Em razão disso, foi proferida sentença determinando a desocupação do imóvel e condenando o cliente do advogado Cândido ao pagamento dos alugueres devidos, bem como as demais verbas decorrentes da sucumbência. Além disso, determinou o magistrado a expedição de ofício à Ordem dos Advogados do Brasil para abertura de processo disciplinar.
Consoante as regras do Estatuto da Advocacia, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:36:20Z
2012-09_11,OBJETIVA,J2,gemma2,medio,Ética Profissional,Competência Disciplinar,"Caio é advogado que atua em três estados da federação, possuindo uma inscrição principal e duas suplementares, tendo em vista o número elevado de causas que possui. Em decorrência de conflitos ocorridos em função dos processos em que atua, foram instaurados três processos disciplinares, um em cada seccional onde atua.
De acordo com as normas do Estatuto da Advocacia, a competência para julgamento desses processos cabe ao",C,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:36:23Z
2012-09_12,OBJETIVA,J2,gemma2,medio,Ética Profissional,Sigilo profissional em relação a ex-clientes,"Mário advogou, por muitos anos, para a empresa “X”, especializada no ramo de cosméticos. Por problemas pessoais, afastou-se da advocacia empresarial por um período de dois anos. No retorno, passou a representar os interesses da empresa “Y”, também do ramo de cosméticos, e concorrente direta da empresa para quem anteriormente prestara serviços.
Quando da prestação de seus serviços à empresa “X”, Mário atuou em vários contratos em que constavam informações submetidas a segredo industrial, a que teve acesso exclusivamente em decorrência da sua atuação como advogado.
Observado tal relato, em consonância com as normas do Código de Ética da Advocacia, assinale a afirmativa correta.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:36:25Z
2012-09_13,OBJETIVA,J2,gemma2,medio,Direito Constitucional,Habeas Corpus,"A respeito da ação de habeas corpus, assinale a afirmativa incorreta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:36:27Z
2012-09_14,OBJETIVA,J2,gemma2,facil,Direito Constitucional,Repartição de Competências,"O Estado W, governado por dirigente progressista, pretende realizar uma ampla reforma agrária no seu território para melhor dividir a terra, incluindo diversos desempregados na vida produtiva, apresentando, ainda, amplo programa de financiamento das atividades agrícolas. Com essa proposta política, resolve apresentar projeto de lei, criando formas de desapropriação e inovando nos procedimentos, dando característica sumária e permitindo o ingresso nos imóveis sem pagar indenização.
Quanto ao tema em foco, legislação sobre desapropriação, nos termos da Constituição Federal, assinale a afirmativa correta.",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:36:29Z
2012-09_15,OBJETIVA,J2,gemma2,facil,Direito Constitucional,Competência do Congresso Nacional,O Congresso Nacional aprova tratados internacionais por meio de:,D,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:36:31Z
