ID da Questão,Tipo Questão,Dataset,Prompt System,texto_questao,alternativas,gabarito_oficial,nivel_dificuldade,disciplina,tema,peso_questao,Número Questão Sequencial,Número Questão Exame,ID Exame,Ano Exame
2012-08_50,OBJETIVA,J2,,"A Assembleia Geral de S.A. Empreendimentos Turísticos, companhia aberta sediada em “X”, delegou ao Conselho de Administração a deliberação sobre a oportunidade de emissão, época e condições de vencimento de debêntures conversíveis em ações. Petrossian Participações Ltda., acionista minoritário, consultou seu advogado sobre a legalidade da deliberação.
Com relação ao fato acima, assinale a alternativa que apresenta a resposta correta à consulta.","{""D"": ""A delibera\u00e7\u00e3o \u00e9 ineficaz em rela\u00e7\u00e3o aos acionistas minorit\u00e1rios, pois a emiss\u00e3o de deb\u00eantures convers\u00edveis em a\u00e7\u00f5es acarretar\u00e1 aumento de capital com dilui\u00e7\u00e3o injustificada de participa\u00e7\u00e3o desses acionistas."", ""C"": ""A delibera\u00e7\u00e3o \u00e9 nula, porque a emiss\u00e3o de deb\u00eantures convers\u00edveis em a\u00e7\u00f5es depende da autoriza\u00e7\u00e3o pr\u00e9via dos titulares de a\u00e7\u00f5es preferenciais reunidos em assembleia especial convocada para esse fim."", ""B"": ""A delibera\u00e7\u00e3o \u00e9 anul\u00e1vel, porque a delibera\u00e7\u00e3o sobre a oportunidade de emiss\u00e3o, a \u00e9poca e as condi\u00e7\u00f5es de vencimento de deb\u00eantures convers\u00edveis em a\u00e7\u00f5es \u00e9 privativa da assembleia geral nas companhias abertas."", ""A"": ""A delibera\u00e7\u00e3o \u00e9 v\u00e1lida, porque a delibera\u00e7\u00e3o sobre a oportunidade de emiss\u00e3o, a \u00e9poca e as condi\u00e7\u00f5es de vencimento de deb\u00eantures convers\u00edveis em a\u00e7\u00f5es pode ser delegada ao Conselho de Administra\u00e7\u00e3o.""}",A,dificil,Direito Empresarial,Debêntures e Órgãos da Companhia,1.0,749,50,2012-08,2012
2012-08_51,OBJETIVA,J2,,"A respeito da recuperação judicial, assinale a afirmativa correta.","{""D"": ""O plano de recupera\u00e7\u00e3o apresentado pelo devedor, em hip\u00f3tese alguma, poder\u00e1 sofrer altera\u00e7\u00f5es."", ""C"": ""O juiz decretar\u00e1 fal\u00eancia, caso o devedor n\u00e3o apresente o plano de recupera\u00e7\u00e3o no prazo de 60 (sessenta) dias da publica\u00e7\u00e3o da decis\u00e3o que deferir o processamento da recupera\u00e7\u00e3o."", ""B"": ""O devedor poder\u00e1 desistir do pedido de recupera\u00e7\u00e3o judicial a qualquer tempo, desde que antes da concess\u00e3o da recupera\u00e7\u00e3o judicial pelo juiz, bastando, para tanto, comunicar sua desist\u00eancia ao ju\u00edzo da recupera\u00e7\u00e3o."", ""A"": ""O juiz somente poder\u00e1 conceder a recupera\u00e7\u00e3o judicial do devedor cujo plano de recupera\u00e7\u00e3o tenha sido aprovado pela assembleia geral de credores.""}",C,medio,Direito Empresarial,Processamento e Plano de Recuperação Judicial,1.0,750,51,2012-08,2012
2012-08_52,OBJETIVA,J2,,"José decidiu constituir uma Empresa Individual de Responsabilidade Limitada (EIRELI) para atuar no município “X” e consultou um advogado para obter esclarecimentos sobre a administração da EIRELI.
Assinale a alternativa que apresenta a informação correta dada pelo advogado.","{""D"": ""O titular da EIRELI poder\u00e1 usar a firma ou denomina\u00e7\u00e3o, sendo vedado seu uso pelo terceiro, ainda que seja designado administrador."", ""C"": ""O administrador da EIRELI, seja o pr\u00f3prio instituidor ou terceiro, responde por culpa no desempenho de suas atribui\u00e7\u00f5es perante terceiros prejudicados."", ""B"": ""A administra\u00e7\u00e3o atribu\u00edda pelo contrato a qualquer dos s\u00f3cios da EIRELI n\u00e3o se estende de pleno direito aos que posteriormente adquirirem essa qualidade."", ""A"": ""A designa\u00e7\u00e3o de administrador n\u00e3o s\u00f3cio depende do voto favor\u00e1vel de 2/3 (dois ter\u00e7os) do capital social, se este n\u00e3o estiver integralizado.""}",C,medio,Direito Empresarial,Administração da EIRELI e Responsabilidade dos Administradores,1.0,751,52,2012-08,2012
2012-08_53,OBJETIVA,J2,,"A parte que, no curso do processo comum ordinário, suscitar questão prejudicial e requerer ao juiz não apenas o exame, mas o julgamento dessa questão, que passará a integrar o dispositivo da sentença, deverá requerer","{""D"": ""o julgamento antecipado dessa quest\u00e3o, por meio de decis\u00e3o interlocut\u00f3ria, no momento do despacho saneador."", ""C"": ""o julgamento dessa quest\u00e3o ao Tribunal, ap\u00f3s a senten\u00e7a do juiz que examinar a quest\u00e3o principal."", ""B"": ""sua declara\u00e7\u00e3o incidental por a\u00e7\u00e3o, para que se forme, quanto a essa quest\u00e3o prejudicial, a coisa julgada material."", ""A"": ""sua declara\u00e7\u00e3o incidental por a\u00e7\u00e3o, mas mesmo assim, quanto a essa quest\u00e3o prejudicial, se formar\u00e1 apenas coisa julgada formal.""}",B,medio,Direito Civil,Ação Declaratória Incidental e Coisa Julgada,1.0,752,53,2012-08,2012
2012-08_54,OBJETIVA,J2,,"O procedimento sumário deve ser adotado em causas cujo valor não supere sessenta salários mínimos ou em situações, qualquer que seja o valor da causa, em que se debata um dos assuntos previstos na lei.
Indique, dentre as alternativas abaixo, a que contém espécie de resposta que não pode ser apresentada pelo réu no rito comum sumário.","{""D"": ""Impugna\u00e7\u00e3o ao valor da causa."", ""C"": ""Contesta\u00e7\u00e3o."", ""B"": ""Exce\u00e7\u00e3o."", ""A"": ""Reconven\u00e7\u00e3o.""}",A,facil,Direito Civil,Procedimento Sumário,1.0,753,54,2012-08,2012
2012-08_55,OBJETIVA,J2,,"A uniformização de jurisprudência é um instituto jurídico que tem por objetivo diminuir os impactos das divergências entre julgamentos do mesmo assunto.
A respeito da uniformização de jurisprudência, asinale a afirmativa correta.","{""D"": ""A decis\u00e3o do \u00f3rg\u00e3o fracion\u00e1rio que reconhece a exist\u00eancia de diverg\u00eancia acerca da mat\u00e9ria ou deixa de faz\u00ea-lo pode ser impugnada por agravo de instrumento."", ""C"": ""A diverg\u00eancia que permite a instaura\u00e7\u00e3o da uniformiza\u00e7\u00e3o de jurisprud\u00eancia \u00e9 sempre verificada entre \u00f3rg\u00e3os diversos do mesmo tribunal."", ""B"": ""A uniformiza\u00e7\u00e3o de jurisprud\u00eancia \u00e9 um procedimento que s\u00f3 ser\u00e1 instaurado, levando \u00e0 suspens\u00e3o do processo que est\u00e1 no tribunal at\u00e9 sua resolu\u00e7\u00e3o, se houver expresso requerimento das partes nesse sentido."", ""A"": ""A uniformiza\u00e7\u00e3o de jurisprud\u00eancia \u00e9 um recurso capaz de provocar a vota\u00e7\u00e3o acerca do melhor entendimento sobre determinado assunto a ser utilizado, quando houver no tribunal dois ou mais precedentes divergentes sobre o tema em quest\u00e3o.""}",C,medio,Direito Civil,Incidente de Uniformização de Jurisprudência,1.0,754,55,2012-08,2012
2012-08_56,OBJETIVA,J2,,"Nos autos de ação indenizatória movida por Henrique em face de Paulo, ambos prósperos empresários, transitou em julgado sentença de procedência do pleito autoral, condenando o réu ao pagamento de indenização, no montante equivalente a 500 salários mínimos, na data da prolação da sentença, acrescidos de juros legais e correção monetária.
Assinale a alternativa que apresenta a providência a ser imediatamente adotada pelo advogado de Henrique.","{""D"": ""Ajuizamento de a\u00e7\u00e3o rescis\u00f3ria, a fim de que o tribunal apure o valor da condena\u00e7\u00e3o em moeda corrente."", ""C"": ""Instaura\u00e7\u00e3o da fase de liquida\u00e7\u00e3o de senten\u00e7a por c\u00e1lculos do contador, a fim de que o magistrado remeta os autos ao contador judicial, para que seja apurado o valor da condena\u00e7\u00e3o em moeda corrente."", ""B"": ""Instaura\u00e7\u00e3o da fase de cumprimento de senten\u00e7a, com a apresenta\u00e7\u00e3o da mem\u00f3ria de c\u00e1lculo contemplando o valor da condena\u00e7\u00e3o em moeda corrente."", ""A"": ""Instaura\u00e7\u00e3o da fase de liquida\u00e7\u00e3o de senten\u00e7a por arbitramento, a fim de apurar o valor da condena\u00e7\u00e3o em moeda corrente.""}",B,medio,Direito Civil,Cumprimento de Sentença,1.0,755,56,2012-08,2012
2012-08_57,OBJETIVA,J2,,"Vinícius foi demandado em uma ação de cobrança por ter sido fiador de sua sogra, Francisca. Assinale a alternativa que indica a medida a ser adotada por Vinícius para trazer Francisca para o pólo passivo desse processo.","{""D"": ""Nomea\u00e7\u00e3o \u00e0 autoria."", ""C"": ""Chamamento ao processo."", ""B"": ""Denuncia\u00e7\u00e3o \u00e0 lide."", ""A"": ""Reconven\u00e7\u00e3o.""}",C,facil,Direito Civil,Chamamento ao Processo,1.0,756,57,2012-08,2012
2012-08_58,OBJETIVA,J2,,"O sistema processual pátrio estabelece duas espécies de incompetência: a incompetência absoluta e a incompetência relativa.
Acerca do tema, assinale a afirmativa correta.","{""D"": ""A incompet\u00eancia relativa ocorre, por exemplo, quando o crit\u00e9rio de fixa\u00e7\u00e3o de compet\u00eancia em raz\u00e3o do valor da causa \u00e9 desrespeitado, hip\u00f3tese em que tanto as partes quanto o magistrado, de of\u00edcio, poder\u00e3o suscitar a incompet\u00eancia do ju\u00edzo."", ""C"": ""Em demanda proposta perante ju\u00edzo absolutamente incompetente, pode haver prorroga\u00e7\u00e3o da compet\u00eancia do ju\u00edzo, caso deixe o r\u00e9u de apresentar, no momento processual oportuno, a exce\u00e7\u00e3o de incompet\u00eancia."", ""B"": ""Em lit\u00edgios que envolvam nuncia\u00e7\u00e3o de obra nova, \u00e9 defeso ao autor optar por fazer o ajuizamento da a\u00e7\u00e3o no foro de domic\u00edlio do r\u00e9u ou no foro de elei\u00e7\u00e3o."", ""A"": ""Os crit\u00e9rios absolutos de fixa\u00e7\u00e3o de compet\u00eancia s\u00e3o previstos em lei com a finalidade de promover a prote\u00e7\u00e3o, precipuamente, de interesses privados.""}",B,medio,Direito Civil,Competência Absoluta e Relativa,1.0,757,58,2012-08,2012
2012-08_59,OBJETIVA,J2,,"Em relação ao princípio da insignificância, assinale a afirmativa correta.","{""D"": ""O princ\u00edpio da insignific\u00e2ncia funciona como causa de diminui\u00e7\u00e3o de pena."", ""C"": ""A jurisprud\u00eancia predominante dos tribunais superiores \u00e9 acorde em admitir a aplica\u00e7\u00e3o do princ\u00edpio da insignific\u00e2ncia em crimes praticados com emprego de viol\u00eancia ou grave amea\u00e7a \u00e0 pessoa (a exemplo do roubo)."", ""B"": ""A m\u00ednima ofensividade da conduta, a aus\u00eancia de periculosidade social da a\u00e7\u00e3o, o reduzido grau de reprovabilidade do comportamento e a inexpressividade da les\u00e3o jur\u00eddica constituem, para o Supremo Tribunal Federal, requisitos de ordem objetiva autorizadores da aplica\u00e7\u00e3o do princ\u00edpio da insignific\u00e2ncia."", ""A"": ""O princ\u00edpio da insignific\u00e2ncia funciona como causa de exclus\u00e3o da culpabilidade. A conduta do agente, embora t\u00edpica e il\u00edcita, n\u00e3o \u00e9 culp\u00e1vel.""}",B,medio,Direito Penal,Princípio da Insignificância,1.0,758,59,2012-08,2012
2012-08_60,OBJETIVA,J2,,"Trata-se de causa extintiva da punibilidade consistente na exclusão, por lei ordinária com efeitos retroativos, de um ou mais fatos criminosos do campo de incidência do Direito Penal,","{""D"": ""a gra\u00e7a."", ""C"": ""o indulto coletivo."", ""B"": ""a anistia."", ""A"": ""o indulto individual.""}",B,facil,Direito Penal,"Anistia, graça e indulto",1.0,759,60,2012-08,2012
2012-08_61,OBJETIVA,J2,,"Analise detidamente as seguintes situações:
Casuística 1: Amarildo, ao chegar a sua casa, constata que sua filha foi estuprada por Terêncio. Imbuído de relevante valor moral, contrata Ronaldo, pistoleiro profissional, para tirar a vida do estuprador. O serviço é regularmente executado.
Casuística 2: Lucas concorre para um infanticídio auxiliando Julieta, parturiente, a matar o nascituro – o que efetivamente acontece. Lucas sabia, desde o início, que Julieta estava sob a influência do estado puerperal.
Levando em consideração a legislação vigente e a doutrina sobre o concurso de pessoas (concursus delinquentium), é correto afirmar que","{""D"": ""no exemplo 1, Amarildo responder\u00e1 pelo homic\u00eddio privilegiado e Ronaldo pelo crime de homic\u00eddio qualificado pelo motivo f\u00fatil. No exemplo 2, Lucas, que n\u00e3o est\u00e1 influenciado pelo estado puerperal, responder\u00e1 por homic\u00eddio e Julieta pelo crime de infantic\u00eddio."", ""C"": ""no exemplo 1, Amarildo responder\u00e1 pelo homic\u00eddio privilegiado e Ronaldo pelo crime de homic\u00eddio simples (ou seja, sem privil\u00e9gio pelo fato de n\u00e3o estar imbu\u00eddo de relevante valor moral). No exemplo 2, tanto Lucas quanto Julieta responder\u00e3o pelo crime de homic\u00eddio (ele na modalidade simples, ela na modalidade privilegiada em raz\u00e3o da influ\u00eancia do estado puerperal)."", ""B"": ""no exemplo 1, Amarildo responder\u00e1 pelo homic\u00eddio privilegiado e Ronaldo pelo crime de homic\u00eddio simples (ou seja, sem privil\u00e9gio pelo fato de n\u00e3o estar imbu\u00eddo de relevante valor moral). No exemplo 2, Lucas, que n\u00e3o est\u00e1 influenciado pelo estado puerperal, responder\u00e1 por homic\u00eddio, e Julieta pelo crime de infantic\u00eddio."", ""A"": ""no exemplo 1, Amarildo responder\u00e1 pelo homic\u00eddio privilegiado e Ronaldo pelo crime de homic\u00eddio qualificado por motivo torpe. No exemplo 2, Lucas e Julieta responder\u00e3o pelo crime de infantic\u00eddio.""}",A,dificil,Direito Penal,Comunicabilidade de Circunstâncias e Elementares,1.0,760,61,2012-08,2012
